cb_id,person_id,cb_person_default_on_file,cb_person_cred_hist_length
1,1,True,3
2,2,False,2
3,3,False,3
4,4,False,2
5,5,True,4
6,6,False,2
7,7,False,3
8,8,False,4
9,9,False,2
10,10,False,3
11,11,False,4
12,12,False,2
13,13,False,2
14,14,False,4
15,15,False,4
16,16,False,3
17,17,False,4
18,18,False,4
19,19,False,4
20,20,False,2
21,21,False,4
22,22,True,2
23,23,False,4
24,24,False,3
25,25,True,4
26,26,False,3
27,27,True,3
28,28,False,3
29,29,False,3
30,30,True,2
31,31,False,3
32,32,False,2
33,33,True,3
34,34,False,3
35,35,False,4
36,36,False,4
37,37,False,2
38,38,True,3
39,39,True,4
40,40,False,4
41,41,False,2
42,42,False,3
43,43,False,4
44,44,True,2
45,45,False,4
46,46,False,3
47,47,False,3
48,48,False,3
49,49,False,3
50,50,False,3
51,51,True,4
52,52,True,3
53,53,True,3
54,54,False,2
55,55,False,4
56,56,True,3
57,57,False,3
58,58,False,4
59,59,False,4
60,60,True,3
61,61,False,4
62,62,False,2
63,63,False,4
64,64,False,2
65,65,False,3
66,66,True,3
67,67,False,3
68,68,True,2
69,69,False,2
70,70,False,4
71,71,False,3
72,72,False,2
73,73,True,3
74,74,False,2
75,75,False,3
76,76,False,3
77,77,False,3
78,78,True,4
79,79,False,2
80,80,True,4
81,81,True,3
82,82,False,3
83,83,False,3
84,84,False,2
85,85,False,4
86,86,False,4
87,87,False,2
88,88,False,2
89,89,True,3
90,90,True,3
91,91,False,2
92,92,True,2
93,93,True,2
94,94,False,3
95,95,False,2
96,96,False,3
97,97,False,3
98,98,False,3
99,99,True,4
100,100,False,4
101,101,False,3
102,102,True,3
103,103,True,2
104,104,False,4
105,105,False,3
106,106,False,4
107,107,False,3
108,108,True,3
109,109,False,3
110,110,True,4
111,111,False,3
112,112,False,4
113,113,True,2
114,114,False,2
115,115,False,4
116,116,False,4
117,117,True,2
118,118,True,2
119,119,False,4
120,120,False,3
121,121,False,3
122,122,True,3
123,123,False,2
124,124,False,2
125,125,False,4
126,126,False,2
127,127,False,2
128,128,False,3
129,129,False,3
130,130,False,2
131,131,False,2
132,132,False,4
133,133,False,2
134,134,False,3
135,135,False,4
136,136,False,4
137,137,False,2
138,138,False,3
139,139,False,3
140,140,True,2
141,141,True,3
142,142,False,2
143,143,False,2
144,144,False,4
145,145,True,4
146,146,True,2
147,147,False,2
148,148,False,4
149,149,False,4
150,150,False,4
151,151,False,4
152,152,False,2
153,153,False,4
154,154,True,4
155,155,False,3
156,156,True,3
157,157,True,4
158,158,False,2
159,159,False,3
160,160,True,3
161,161,False,4
162,162,False,3
163,163,False,3
164,164,True,2
165,165,False,3
166,166,False,2
167,167,False,2
168,168,False,4
169,169,False,4
170,170,False,3
171,171,False,4
172,172,False,4
173,173,False,2
174,174,True,3
175,175,False,2
176,176,False,2
177,177,False,4
178,178,False,3
179,179,False,2
180,180,False,4
181,181,False,2
182,182,True,3
183,183,False,4
184,184,False,2
185,185,False,3
186,186,False,2
187,187,False,3
188,188,False,3
189,189,True,2
190,190,False,4
191,191,True,2
192,192,False,4
193,193,False,3
194,194,True,3
195,195,False,2
196,196,False,3
197,197,False,2
198,198,False,3
199,199,False,3
200,200,False,3
201,201,False,4
202,202,False,3
203,203,False,4
204,204,True,2
205,205,False,4
206,206,False,2
207,207,False,2
208,208,False,3
209,209,False,2
210,210,True,2
211,211,False,4
212,212,False,4
213,213,False,3
214,214,False,3
215,215,False,4
216,216,True,4
217,217,False,4
218,218,False,3
219,219,True,2
220,220,False,3
221,221,False,3
222,222,False,4
223,223,False,2
224,224,False,2
225,225,True,2
226,226,True,2
227,227,False,2
228,228,True,2
229,229,False,4
230,230,False,4
231,231,False,2
232,232,False,4
233,233,False,2
234,234,False,2
235,235,True,4
236,236,False,2
237,237,True,4
238,238,False,3
239,239,False,2
240,240,False,3
241,241,False,4
242,242,True,4
243,243,False,3
244,244,False,3
245,245,False,2
246,246,False,3
247,247,True,3
248,248,True,4
249,249,False,3
250,250,False,2
251,251,False,4
252,252,False,4
253,253,False,4
254,254,False,2
255,255,False,4
256,256,False,4
257,257,False,4
258,258,False,3
259,259,True,3
260,260,False,4
261,261,True,2
262,262,False,4
263,263,False,2
264,264,False,4
265,265,False,3
266,266,True,4
267,267,False,4
268,268,False,2
269,269,False,4
270,270,True,3
271,271,True,4
272,272,False,3
273,273,True,4
274,274,True,3
275,275,False,3
276,276,True,4
277,277,False,4
278,278,True,3
279,279,True,4
280,280,True,3
281,281,False,4
282,282,False,2
283,283,False,2
284,284,False,3
285,285,False,4
286,286,False,2
287,287,True,2
288,288,False,2
289,289,False,4
290,290,True,4
291,291,False,3
292,292,False,4
293,293,False,4
294,294,False,3
295,295,True,4
296,296,True,2
297,297,True,2
298,298,False,3
299,299,False,3
300,300,False,3
301,301,False,4
302,302,True,3
303,303,False,4
304,304,True,3
305,305,True,4
306,306,False,2
307,307,True,2
308,308,True,2
309,309,False,3
310,310,True,4
311,311,False,4
312,312,False,4
313,313,True,2
314,314,False,3
315,315,False,2
316,316,True,2
317,317,False,3
318,318,False,2
319,319,False,2
320,320,True,2
321,321,True,4
322,322,False,4
323,323,False,2
324,324,False,2
325,325,True,2
326,326,False,4
327,327,False,3
328,328,False,3
329,329,True,2
330,330,False,4
331,331,False,4
332,332,True,2
333,333,False,3
334,334,True,3
335,335,False,3
336,336,False,3
337,337,False,2
338,338,False,2
339,339,False,4
340,340,True,3
341,341,False,2
342,342,False,2
343,343,False,4
344,344,False,4
345,345,False,4
346,346,False,3
347,347,False,3
348,348,True,2
349,349,False,4
350,350,False,4
351,351,False,4
352,352,False,2
353,353,True,4
354,354,False,3
355,355,False,3
356,356,False,4
357,357,True,2
358,358,False,3
359,359,False,2
360,360,False,3
361,361,True,2
362,362,False,2
363,363,False,4
364,364,False,4
365,365,False,4
366,366,False,4
367,367,False,4
368,368,False,3
369,369,False,3
370,370,False,4
371,371,False,2
372,372,False,4
373,373,False,2
374,374,False,4
375,375,False,4
376,376,True,4
377,377,False,4
378,378,False,4
379,379,False,4
380,380,False,3
381,381,False,4
382,382,False,2
383,383,True,2
384,384,False,2
385,385,False,3
386,386,True,3
387,387,True,2
388,388,False,2
389,389,False,3
390,390,False,4
391,391,False,3
392,392,True,2
393,393,False,4
394,394,True,4
395,395,True,2
396,396,True,2
397,397,False,3
398,398,False,4
399,399,False,2
400,400,False,3
401,401,False,3
402,402,True,3
403,403,True,3
404,404,False,4
405,405,True,2
406,406,False,3
407,407,True,2
408,408,False,2
409,409,True,3
410,410,False,2
411,411,False,2
412,412,False,4
413,413,False,4
414,414,False,4
415,415,False,3
416,416,False,2
417,417,False,3
418,418,False,2
419,419,False,2
420,420,True,3
421,421,True,2
422,422,False,4
423,423,False,4
424,424,False,3
